,울산-1인당 개인소득(단위 천원),울산-주택가격지수(2017.11월 기준),울산-인구(단위 명)
2003,12603.0,57.2,1072867.0
2004,13422.0,57.39,1081453.0
2005,14129.0,59.72,1087648.0
2006,14426.0,65.77,1092494.0
2007,15502.0,74.64,1099995.0
2008,16438.0,76.86,1112407.0
2009,16950.0,77.03,1114866.0
2010,17634.0,79.99,1126298.0
2011,18594.0,86.21,1135494.0
2012,18941.0,93.78,1147256.0
2013,19782.0,94.06,1156480.0
2014,20142.0,95.82,1166377.0
2015,21348.0,98.89,1173534.0
2016,21422.0,100.89,1172304.0
2017,21956.0,100.42,1165132.0
2018,21655.0,96.73,1155623.0
2019,22550.0,90.57,1148019.0
2020,,,1136017.0
