,num,LSTM,CNN+LSTM,BI-LSTM,LSTM+BI-LSTM,CNN+LSTM+BI-LSTM
0,1,0.3202936351299286,0.2851906716823578,0.3246440291404724,0.2822178304195404,0.28609028458595276
1,2,0.34429413080215454,0.2787759006023407,0.2826562523841858,0.29247114062309265,0.2778269052505493
2,3,0.35320600867271423,0.2748747169971466,0.3174988627433777,0.29990094900131226,0.2949998676776886
3,4,0.34184858202934265,0.32928043603897095,0.2955668568611145,0.31604352593421936,0.30058416724205017
4,5,0.2522129714488983,0.268429160118103,0.31180539727211,0.3165227174758911,0.2641299068927765
5,6,0.32211148738861084,0.3330627679824829,0.32163286209106445,0.3139216899871826,0.28385528922080994
6,7,0.3182036876678467,0.29631057381629944,0.2797336280345917,0.370414137840271,0.26895302534103394
7,8,0.31643515825271606,0.32526224851608276,0.30098968744277954,0.31486836075782776,0.2974623441696167
8,9,0.26210224628448486,0.305691659450531,0.2850455641746521,0.2989197075366974,0.3171994090080261
9,10,0.3041157126426697,0.3351573646068573,0.27144116163253784,0.3162701725959778,0.2701702117919922
10,11,0.28637948632240295,0.31530511379241943,0.329800009727478,0.34033259749412537,0.27564865350723267
11,12,0.2981218993663788,0.2826632559299469,0.31327176094055176,0.27633336186408997,0.2717134356498718
12,13,0.3299840986728668,0.30461886525154114,0.29563048481941223,0.30156704783439636,0.2844706177711487
13,14,0.30557456612586975,0.34259656071662903,0.2811257541179657,0.30576422810554504,0.2982006371021271
14,15,0.3102593421936035,0.2485620528459549,0.29451262950897217,0.2904632091522217,0.2818084955215454
15,16,0.2941534221172333,0.27224001288414,0.3053116500377655,0.3012807369232178,0.2791723608970642
16,17,0.3240961730480194,0.30281969904899597,0.29564476013183594,0.3291606903076172,0.2788468301296234
17,18,0.2893647253513336,0.2559354305267334,0.2880406081676483,0.3362216055393219,0.3137368857860565
18,19,0.3071504533290863,0.2890080213546753,0.27495476603507996,0.30452537536621094,0.2767600417137146
19,20,0.28953540325164795,0.2813998758792877,0.3151959776878357,0.30207380652427673,0.26385360956192017
20,21,0.289065420627594,0.26291000843048096,0.28053775429725647,0.3028286397457123,0.2910555303096771
21,22,0.3102165460586548,0.3282674551010132,0.2884533107280731,0.3551565110683441,0.3180563747882843
22,23,0.3088589608669281,0.29737505316734314,0.2796008288860321,0.32235199213027954,0.27944907546043396
23,24,0.3016681373119354,0.31137895584106445,0.2742217779159546,0.35348254442214966,0.2905053496360779
24,25,0.3498545289039612,0.2862361967563629,0.33327534794807434,0.30059465765953064,0.293226420879364
25,26,0.3619481027126312,0.2722693979740143,0.3054892420768738,0.30765801668167114,0.2778887152671814
26,27,0.3336614668369293,0.2727160155773163,0.32482996582984924,0.3304857015609741,0.26834580302238464
27,28,0.2858213484287262,0.2904247045516968,0.38546985387802124,0.3012063503265381,0.2619807720184326
28,29,0.2899025082588196,0.27668991684913635,0.2897599935531616,0.32362642884254456,0.26463782787323
29,30,0.3207792341709137,0.2767714262008667,0.29432886838912964,0.36174723505973816,0.2778361439704895
30,31,0.320427268743515,0.3136173486709595,0.30062052607536316,0.30116814374923706,0.23777475953102112
31,32,0.3025994896888733,0.29874685406684875,0.25854524970054626,0.308222234249115,0.29273879528045654
32,33,0.3772554397583008,0.2708130180835724,0.30256956815719604,0.36189183592796326,0.26731202006340027
33,34,0.29060155153274536,0.35621002316474915,0.3183242082595825,0.31504151225090027,0.2660316228866577
34,35,0.2788136899471283,0.297478049993515,0.30327045917510986,0.283182829618454,0.24452506005764008
35,36,0.3551037609577179,0.3102911114692688,0.2947709858417511,0.3145545423030853,0.2713865637779236
36,37,0.3145524263381958,0.33284902572631836,0.28828778862953186,0.3324996829032898,0.2770332992076874
37,38,0.3322084844112396,0.2949657440185547,0.2859373092651367,0.34383150935173035,0.29516276717185974
38,39,0.30746668577194214,0.3142170011997223,0.3228413760662079,0.3268854320049286,0.32160139083862305
39,40,0.3682246804237366,0.24352002143859863,0.34455475211143494,0.3008498549461365,0.2864942252635956
40,41,0.3677483797073364,0.2946387827396393,0.30128714442253113,0.31532710790634155,0.27248460054397583
41,42,0.31942325830459595,0.29276934266090393,0.3182099759578705,0.33268529176712036,0.30025386810302734
42,43,0.27387428283691406,0.2707039415836334,0.3083048164844513,0.33018958568573,0.250654935836792
43,44,0.34310051798820496,0.25836867094039917,0.2988104224205017,0.3152303993701935,0.2653179168701172
44,45,0.35296395421028137,0.29255053400993347,0.2992455065250397,0.3243643641471863,0.31974804401397705
45,46,0.32246553897857666,0.3324553370475769,0.29093649983406067,0.2886013090610504,0.31416529417037964
46,47,0.37706100940704346,0.3257445991039276,0.29982686042785645,0.3375592827796936,0.3125361502170563
47,48,0.3556700050830841,0.2973850965499878,0.3472992777824402,0.3240680992603302,0.32126477360725403
48,49,0.29368728399276733,0.25841692090034485,0.286075234413147,0.3202076256275177,0.25916391611099243
49,50,0.2839072644710541,0.3211590051651001,0.28079062700271606,0.310908704996109,0.3176545202732086
50,51,0.2912280559539795,0.28015589714050293,0.2941644787788391,0.3085377812385559,0.26216554641723633
51,52,0.31763410568237305,0.3682267963886261,0.3322436511516571,0.3078053891658783,0.2926603853702545
52,53,0.35578328371047974,0.3386818766593933,0.28986498713493347,0.3485028147697449,0.2734093964099884
53,54,0.33523574471473694,0.3206983506679535,0.2978537082672119,0.3617772161960602,0.29422345757484436
54,55,0.30333957076072693,0.30473360419273376,0.30306053161621094,0.2806280553340912,0.27418404817581177
55,56,0.31294211745262146,0.2954271733760834,0.3110569715499878,0.3302592933177948,0.2561740279197693
56,57,0.3254700005054474,0.268524706363678,0.31823140382766724,0.3108126223087311,0.291446715593338
57,58,0.3405001759529114,0.2942880690097809,0.31672823429107666,0.3726497292518616,0.3137836456298828
58,59,0.29291293025016785,0.2965192198753357,0.304475337266922,0.370552659034729,0.301552951335907
59,60,0.3147386610507965,0.2967774569988251,0.302496999502182,0.30873334407806396,0.2669048607349396
